stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08159] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08164] added dtor for sample_instance 0000000000729290, func 00007ffc9409929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08186] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08193] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08199] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08207] added dtor for sample_instance 0000000000729400, func 00007ffc9409929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08215] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08221] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08228] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08235] added dtor for sample_instance 000000000072edc0, func 00007ffc9409929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08243] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08248] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08253] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08260] added dtor for sample_instance 000000000273efe0, func 00007ffc9409929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08272] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08278] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08283] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08288] added dtor for sample_instance 000000000273f100, func 00007ffc9409929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08294] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08299] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08304] 
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.08427] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.08437] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.08675] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.14943] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.15238] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.15270] al_display=000000000274fbd0
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.15282] al_display->vt=000000000274fa60
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17307] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.17319] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17324] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17335] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17339] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17343] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17347] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17352] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17356] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17360] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17364] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17369] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17375] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17381] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17386] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17392] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17398] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17403] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17407] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17413] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17425] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17433] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17439] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17445] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17450] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17455] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17461] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17466] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17472] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17476] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17482] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17487] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17492] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17497] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17503] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17512] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17516] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17520] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17524] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17529] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17535] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17541] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17546] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17552] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17558] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17563] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17567] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17572] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17580] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17587] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17592] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17597] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17601] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17605] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17609] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17613] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17617] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17621] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17625] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17630] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17668] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17677] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17683] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17690] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17696] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17701] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17707] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17713] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17719] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17725] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17731] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17738] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17743] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17750] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17760] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17768] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17773] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17778] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17783] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17788] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17792] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17797] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17806] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17819] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17825] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17829] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17834] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17839] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17843] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17847] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17851] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17855] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17860] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17866] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17873] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17880] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17886] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17890] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17894] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17900] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17907] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17915] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17920] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17926] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17933] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17940] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17948] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17956] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17963] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17972] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17980] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17987] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17994] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18001] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18009] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18020] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18029] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18036] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18043] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18051] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18057] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18062] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18068] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18074] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18079] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18085] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18090] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18096] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18101] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18106] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18112] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18118] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18125] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18132] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18139] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18147] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18155] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18162] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18169] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18175] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18182] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18187] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18195] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18200] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18207] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18212] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18218] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18225] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18232] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18237] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18249] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18256] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18261] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18267] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18278] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18284] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18290] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18296] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18307] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18313] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18319] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18324] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18330] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18335] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18340] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18346] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18351] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18356] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18362] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18369] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18374] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18379] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18386] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18392] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18399] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18406] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18413] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18420] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18425] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18435] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18439] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18443] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18449] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18455] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18460] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18466] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18472] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18478] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18484] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18495] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18502] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18508] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18522] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18529] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18535] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18541] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18546] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18552] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18557] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18562] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18567] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18573] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18587] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18594] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
